annee;id_museofile;region;commune;nom_du_musee;titre_de_l_exposition;departement;url;coordonnees
2014;M0212;Bretagne;Rennes;musée de Bretagne;Terre Neuve, Terre neuvas;Ille-et-Vilaine;www.musee-bretagne.fr/;48.105455, -1.674922
2014;M0311;Grand-Est;Reims;musée des beaux-arts de Saint-Denis;1910-1925 : la Paix ? Front et coulisse de l'art allemand;Marne;musees-reims.fr/fr/musees/musee-des-beaux-arts/;49.253442, 4.030921
2014;M0629;Hauts-de-France;Lille;musée des beaux-arts;Sésostris III le pharaon conquérant;Nord;pba.lille.fr/;50.621132, 3.068387
2014;M0729;Normandie;Rouen;musée des beaux-arts;Cathédrales, 1789-1914 : un mythe moderne;Seine-Maritime;mbarouen.fr/fr;49.444957582036025, 1.093907740011714
2014;M0744;Pays-de-la-Loire;Nantes;musée du Château des Ducs de Bretagne;Samouraïs, mythes et réalités;Loire-Atlantique;www.chateaunantes.fr/;47.216353, -1.549389
2024;M0137;Bourgogne Franche-Comté;Dijon;musée des beaux-arts;Maîtres et merveilles. Peintures germaniques des collections françaises (1370-1530);Côte-d'Or;beaux-arts.dijon.fr/;47.321356, 5.042873
2024;M0212;Bretagne;Rennes;musée de Bretagne;Mourir, quelle histoire !;Ille-et-Vilaine;www.musee-bretagne.fr/;48.105455, -1.674922
2024;M0028;Grand-Est;Colmar;musée Unterlinden;COULEUR, GLOIRE ET BEAUTÉ. Peintures germaniques des collections françaises (1420-1536);Haut-Rhin;www.musee-unterlinden.com/;48.079918, 7.355464
2024;M0533;Grand-Est;Sarreguemines;musée de la faïence;L’art déco s’invite à table;Moselle;www.sarreguemines-museum.fr;49.109069, 7.070473
2024;M5052;Hauts-de-France;Chantilly;musée Condé;André Charles Boulle;Oise;musee-conde.fr/fr/;49.19413375188932, 2.485123295821842
